Tanggal;Waktu (WIB);Lintang;Bujur;Kedalaman;Magnitude;Keterangan;Dirasakan
11/05/2024;11:50:05;-9.2;116.66;71;2.8;54 km BaratDaya SUMBAWABARAT-NTB;
12/05/2024;22:23:26;-8.62;116.16;93;2.3;7 km TimurLaut LOMBOKBARAT-NTB;
12/05/2024;03:20:03;-8.51;114.9;117;2;24 km BaratLaut TABANAN-BALI;
13/05/2024;01:19:25;-8.53;115.52;172;1.9;13 km TimurLaut KLUNGKUNG-BALI;
15/05/2024;19:22:00;-8.78;116.25;80;2.1;8 km BaratDaya LOMBOKTENGAH-NTB;
16/05/2024;19:49:59;-8.56;116.35;89;2.4;18 km TimurLaut LOMBOKTENGAH-NTB;
17/05/2024;11:45:38;-8.58;116.14;88;2.3;11 km TimurLaut LOMBOKBARAT-NTB;
17/05/2024;00:31:10;-8.78;114.57;90;2.7;48 km BaratDaya JEMBRANA-BALI;
19/05/2024;01:48:22;-7.76;117.17;103;2.5;74 km TimurLaut PULAUSARINGI-NTB;
26/05/2024;12:41:31;-8.24;116.09;262;3.1;15 km BaratLaut LOMBOKUTARA-NTB;
27/05/2024;00:36:33;-8.7;116.3;92;2.3;3 km TimurLaut LOMBOKTENGAH-NTB;
31/05/2024;20:34:46;-8.44;117.11;254;3.1;8 km TimurLaut PERNANG-NTB;
03/06/2024;19:02:45;-8.16;116.71;160;2.6;38 km BaratLaut PULAUPANJANG-NTB;
05/06/2024;08:24:46;-8.68;114.59;74;2.7;36 km BaratDaya JEMBRANA-BALI;
05/06/2024;15:12:59;-8.68;116.24;94;3.6;4 km BaratLaut LOMBOKTENGAH-NTB;
06/06/2024;05:49:31;-8.69;117.21;165;2.9;31 km Tenggara PERNANG-NTB;
07/06/2024;10:54:46;-8.79;116.86;76;2.4;4 km Tenggara SUMBAWABARAT-NTB;
09/06/2024;01:04:04;-9.44;115.89;69;2.8;88 km BaratDaya LOMBOKBARAT-NTB;
09/06/2024;03:49:01;-8.26;115.02;205;3.7;17 km BaratDaya BULELENG-BALI;
10/06/2024;03:53:38;-8.69;116.27;93;2.2;1 km Utara LOMBOKTENGAH-NTB;
10/06/2024;01:11:27;-8.59;115.24;97;3.3;7 km Tenggara BADUNG-BALI;
10/06/2024;01:27:26;-8.78;116.53;113;1.6;14 km Selatan LOMBOKTIMUR-NTB;
12/06/2024;23:23:04;-8.71;115.33;84;2.4;14 km TimurLaut KUTASELATAN-BALI;
13/06/2024;07:57:56;-8.91;116.08;137;2.5;26 km BaratDaya LOMBOKBARAT-NTB;
14/06/2024;09:41:06;-8.79;115.01;75;2;24 km BaratLaut KUTASELATAN-BALI;
15/06/2024;12:03:21;-9.3;117.15;62;3.1;69 km Tenggara SUMBAWABARAT-NTB;
18/06/2024;01:53:49;-8.76;116.22;85;2.3;8 km BaratDaya LOMBOKTENGAH-NTB;
19/06/2024;16:44:21;-8.66;116.31;93;2.5;6 km TimurLaut LOMBOKTENGAH-NTB;
20/06/2024;02:19:47;-8.72;116.65;122;2.6;15 km Tenggara LOMBOKTIMUR-NTB;
