No,Tanggal,Waktu (UTC),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
158,2026-03-06,11:26:55,-8.76,117.811,10.2,3.09,52 km Tenggara Kab. Sumbawa-NTB,
159,2026-03-06,12:24:11,-8.12,117.743,13.3,2.69,54 km TimurLaut Kab. Sumbawa-NTB,
160,2026-03-06,12:40:23,-7.99,117.1862,19.1,2.84,61 km BaratLaut Kab. Sumbawa-NTB,
162,2026-03-06,14:55:43,-8.48,118.6399,23.8,2.66,10 km Barat Kota Bima-NTB,
164,2026-03-06,15:49:24,-9.47,118.3674,19.4,3.16,97 km Selatan Kab. Bima-NTB,
165,2026-03-06,16:34:18,-8.22,117.6893,10.0,2.67,42 km TimurLaut Kab. Sumbawa-NTB,
167,2026-03-06,18:56:09,-9.43,117.0958,31.0,2.66,81 km Selatan Kab. Sumbawa Barat-NTB,
168,2026-03-06,19:01:01,-8.36,117.7801,42.4,2.7,42 km Timur Kab. Sumbawa-NTB,
170,2026-03-06,19:11:17,-10.89,118.2115,10.0,3.3,189 km BaratDaya Kab. Sumba Barat-NTT,
171,2026-03-06,19:37:59,-8.3,117.7091,11.2,2.88,38 km TimurLaut Kab. Sumbawa-NTB,
172,2026-03-06,19:42:53,-9.37,118.41,30.4,2.38,86 km Selatan Kab. Bima-NTB,
173,2026-03-06,19:55:26,-8.54,116.1034,14.1,2.23,6 km Utara Kota Mataram-NTB,
176,2026-03-06,21:55:24,-8.15,117.7925,10.0,2.66,56 km TimurLaut Kab. Sumbawa-NTB,
177,2026-03-06,22:18:30,-8.12,119.2268,10.2,2.63,67 km TimurLaut Kota Bima-NTB,
178,2026-03-06,22:20:33,-8.43,115.8548,12.6,2.91,26 km Timur Kab. Karangasem-Bali,
179,2026-03-06,23:14:42,-9.49,116.3733,40.1,3.02,88 km Selatan Kab. Lombok Tengah-NTB,
180,2026-03-06,23:32:54,-8.25,117.7451,26.7,2.53,45 km TimurLaut Kab. Sumbawa-NTB,
181,2026-03-07,03:49:09,-7.97,117.3757,21.5,2.49,58 km Utara Kab. Sumbawa-NTB,
182,2026-03-07,05:04:23,-8.24,117.7322,18.6,2.25,44 km TimurLaut Kab. Sumbawa-NTB,
183,2026-03-07,06:39:33,-8.24,117.7614,21.0,2.13,47 km TimurLaut Kab. Sumbawa-NTB,
184,2026-03-07,07:04:34,-8.15,117.8095,10.0,2.67,57 km TimurLaut Kab. Sumbawa-NTB,
185,2026-03-07,07:25:41,-8.48,117.4972,12.9,2.52,9 km Timur Kab. Sumbawa-NTB,
186,2026-03-07,09:53:37,-8.95,117.9807,42.4,2.05,59 km BaratDaya Kab. Bima-NTB,
187,2026-03-07,12:01:58,-8.1,117.636,10.0,2.21,49 km TimurLaut Kab. Sumbawa-NTB,
190,2026-03-07,14:19:52,-8.16,117.78,13.5,2.31,54 km TimurLaut Kab. Sumbawa-NTB,
191,2026-03-07,14:36:00,-8.71,117.9703,11.8,2.46,47 km Barat Kab. Bima-NTB,
192,2026-03-07,15:18:59,-9.73,118.7803,27.7,2.63,61 km Barat Kab. Sumba Barat-NTT,
193,2026-03-07,15:41:56,-9.23,117.1157,13.1,2.43,62 km Tenggara Kab. Sumbawa Barat-NTB,
195,2026-03-07,16:16:57,-8.68,118.7113,10.0,1.75,24 km Selatan Kota Bima-NTB,
196,2026-03-07,16:25:14,-8.22,117.6967,13.1,2.28,43 km TimurLaut Kab. Sumbawa-NTB,
197,2026-03-07,16:32:41,-9.37,116.4947,15.2,2.48,77 km BaratDaya Kab. Sumbawa Barat-NTB,
198,2026-03-07,16:42:26,-8.12,117.7953,14.3,2.31,58 km TimurLaut Kab. Sumbawa-NTB,
199,2026-03-07,17:46:32,-9.4,115.5115,27.6,2.92,87 km Selatan Kota Denpasar-Bali,
