No,Tanggal,Waktu (UTC),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
970,2026-03-29,10:25:23,-8.4,118.284,151.9,2.47,24 km BaratLaut Kab. Bima-NTB,
989,2026-03-29,20:42:51,-8.65,116.0531,93.3,1.81,8 km BaratDaya Kota Mataram-NTB,
992,2026-03-29,21:24:49,-8.5,117.8585,65.0,1.61,48 km Timur Kab. Sumbawa-NTB,
997,2026-03-30,01:01:33,-8.58,118.3946,92.2,1.45,3 km TimurLaut Kab. Bima-NTB,
1000,2026-03-30,03:22:58,-9.18,115.148,85.2,2.92,57 km Selatan Kota Denpasar-Bali,
1004,2026-03-30,05:41:02,-8.54,117.9536,61.2,1.88,47 km Barat Kab. Bima-NTB,
1007,2026-03-30,13:08:15,-7.74,118.0473,164.3,2.06,99 km BaratLaut Kab. Dompu-NTB,
1010,2026-03-30,15:30:58,-8.83,116.0033,83.3,2.08,22 km BaratDaya Kab. Lombok Barat-NTB,
1012,2026-03-30,19:01:25,-9.29,118.4162,61.3,2.09,77 km Selatan Kab. Bima-NTB,
1027,2026-03-31,06:59:58,-8.54,118.9512,110.2,2.18,26 km Timur Kota Bima-NTB,
1029,2026-03-31,08:09:19,-9.19,115.5502,78.9,3.74,68 km Tenggara Kota Denpasar-Bali,
1033,2026-03-31,10:56:39,-8.39,118.3111,111.8,1.87,23 km BaratLaut Kab. Dompu-NTB,
1047,2026-03-31,19:39:29,-8.97,118.9924,76.1,2.03,56 km BaratLaut Kab. Sumba Barat Daya-NTT,
1048,2026-03-31,20:32:06,-8.6,116.3656,92.2,1.74,15 km TimurLaut Kab. Lombok Tengah-NTB,
