215.984986348	16	2.2
287.017229872	10	2.3
325.030336519	20	1.9
337.029294794	10	2.4
421.281027864	10	2.8
398.928917277	14	2.6
312.460512352	10	3.2
195.854754986	23	3.3
309.104921376	14	2.2
310.970846861	13	2.1
309.66850267	10	2.1
198.657305247	14	3.5
278.718360309	42	2.3
253.324323786	40	2.8
326.094340002	17	2.2
309.6281564	10	2
444.335750977	22	2.5
438.120459154	35	2.8
310.280333236	12	2.2
311.644531815	15	2.4
313.211286423	12	2.3
393.354256584	20	2.2
355.438534849	108	2.7
221.765676463	27	2.5
311.736528939	11	2.4
349.841559309	86	2.1
247.709894298	57	2.4
204.876525446	17	2.9
195.505409475	10	3.1
310.086312649	10	3.5
358.498392687	12	2.4
385.558732717	12	2.5
222.590851492	38	2.5
364.190624894	114	2.2
447.233710949	28	2.2
240.328329159	20	3.1
41.7713334184	37	3.2
386.989096748	151	2.2
369.199865039	136	2.5
230.109443302	39	2.6
342.75781611	126	2.4
207.453691896	10	2.6
227.793387311	11	2.5
222.536319082	27	2.1
246.089010762	75	2.3
318.072905822	28	1.9
312.388563225	90	2.7
308.14347147	19	3.5
278.640061172	69	2.2
360.078483854	111	2.3
222.770693366	34	3.7
366.016284425	14	2.7
311.726111285	16	2.2
361.327337106	19	1.9
385.477900287	105	2.2
305.780871704	59	2.3
311.80704057	10	2.9
317.066499199	83	2.1
316.461206726	14	1.9
248.783100375	46	2.8
251.594332755	29	2.9
335.088832093	88	2.6
369.871765225	290	2.7
311.836703141	10	1.9
388.362764964	15	2.8
349.931254252	20	1.3
281.043944105	68	2.3
311.185710981	15	2.8
395.057361737	130	2.3
219.675640182	33	2.3
344.8874177	27	2.3
312.275541239	11	2.8
313.059641933	10	3.2
434.975520526	14	2.5
311.878178591	13	2.6
313.295674567	10	2.3
175.055908857	23	2.6
444.470242151	27	2.9
233.524926106	18	2.6
271.796152484	32	2.4
285.895769014	10	2.4
313.179929079	10	2.7
324.290196811	164	2.5
228.526007079	37	2.3
311.674735871	10	2.4
526.301703659	488	3.7
296.357416579	73	2.4
66.0398714158	10	3.2
230.877224622	32	2.1
350.783535589	19	2.3
402.592789745	73	2.4
485.671690051	21	3
404.991066156	17	2.2
314.583507442	156	3
394.262798204	24	2.5
203.203066433	52	2.6
280.856766046	12	1.8
232.892703301	33	2.7
234.485026132	31	3.9
245.624293021	33	3.1
308.794391427	18	2.2
310.417058847	10	2.5
73.5610167723	19	2.7
344.807849909	111	1.8
373.432049173	12	2.4
137.447153718	12	2.8
225.411639679	35	2.5
329.879657189	98	2.1
283.316603727	69	2
388.255725227	10	1.9
223.614108199	14	2.6
314.876827089	10	2.4
309.097684303	12	2.5
311.33227011	10	2.2
310.826009225	10	2.8
244.401992384	44	2.2
62.3236361643	10	3.4
354.079340834	11	1.9
431.510927552	23	2.4
381.107758984	22	2
245.784285011	23	2
347.155468603	13	2.7
327.654377623	10	2.7
316.07713301	10	2.4
358.281656159	11	2.4
218.04690301	31	2.3
371.499761049	61	2.4
230.608854589	23	2
247.016067307	26	2.5
310.226046499	10	4.1
381.547110801	151	2.8
207.704234941	30	3.5
323.561596386	23	2
349.781356231	12	2.7
379.642147846	32	2.6
383.03861635	18	3.1
226.58490926	26	4.3
356.448770176	10	2.8
358.86996905	13	2.4
357.461250101	13	2.9
361.189086007	19	2
357.361258609	16	1.8
230.41591725	21	2.4
230.0155269	27	2.5
357.231936056	13	1.5
361.55658562	12	2.1
353.330217393	19	1.8
358.557441014	15	1.9
274.353177351	108	2.1
359.510043486	28	1.5
356.295157328	11	2.5
357.906445134	16	2.1
232.341935446	38	2.9
347.800210393	110	2
315.040106539	75	1.7
277.725718843	10	2.3
233.866012432	23	2.5
243.88167617	27	3.2
284.634160381	62	2.4
209.099357316	22	2.6
236.888052246	39	3.7
418.663709316	17	2.2
324.625856873	29	2.4
259.960591238	10	2.2
235.17566845	28	2.7
366.227651235	12	1.8
311.013404936	10	3.7
322.265166911	75	2.1
382.084986247	158	2.3
299.404647836	69	2.2
209.167311665	53	2.7
306.335199378	95	2.5
368.102500205	157	2.5
196.496374139	27	2.5
396.972991152	154	2.9
363.980533264	181	2.8
181.173658423	10	2.6
245.29570597	36	3
310.171204382	11	2.3
215.67439742	38	2.2
312.719180058	12	2.7
313.195034439	16	2.2
372.253958031	10	2.2
193.871958501	24	3
374.342163606	11	2.6
311.068891936	11	2.2
367.21996697	13	2
471.24976128	25	2.4
382.782302168	15	1.9
319.185929498	78	2.4
230.473268475	40	2.2
363.375757577	242	2.5
248.221054902	17	2.6
216.89018901	10	2.3
298.002276888	69	2.1
231.031329362	17	2.7
236.617221427	26	2.3
366.785327804	12	2.4
331.359426919	22	2.1
312.816026627	103	2.1
300.955230339	84	2.1
256.200165061	82	3.6
360.108477343	13	2.2
221.820866987	29	2.6
258.904411055	30	3.3
397.754722525	140	2.5
264.252626023	19	2.2
254.598689939	29	2.6
300.873808108	74	2.5
302.690911845	69	2.5
387.114294868	154	2.7
350.218800808	24	1.9
258.145180462	25	2.3
325.98576088	82	2.5
